s,s,h,s,s,s,s,s,s
,,,,,,,,
Company,Date Received,URL,City/County,Layoff/Closure,Potential Number Affected,Layoff Date(s),Phone Number,Union
"Perstorp Polyols, Inc.",9/14/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/Perstorp_Polyols_Inc.pdf,Toledo/Lucas,Closure,50,11/2/2026,(419) 729-5448,N
UPDATE 2 Republic National Distributing Company,9/11/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/UPDATE_2_Republic_National_Distributing_Co.pdf,Cincinnati/Hamilton,Closure,56,9/29/2026,(531) 284-0595,N
"Marc Glassman, Inc.",9/11/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/Update_Marc_Glassman_Inc..pdf,Parma/Cuyahoga,Closure,55,11/10/2026,(216) 265-7700,N
PJ Trailer,9/9/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/PJ_Trailer.pdf,Mount Orab/Brown,Closure,116,11/8/2026,(469) 607-2001,N
Cornerstone Building Brands,8/27/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/Cornerstone_Building_Brands.pdf,Walbridge/Wood,Closure,104,12/1/2026,(330) 572-0447,N
Insteel Wire Products Company,8/21/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/Insteel_Wire_Products_Company.pdf,Upper Sandusky/Wyandot,Closure,65,10/20/2026,(336) 786-2141,Y/See WARN
"Sodexo CTM, LLC",8/6/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/Sodexo_CTM_LLC.pdf,West Chester/Butler,Closure,66,10/1/2026,(772) 828-0908,N
"SDH Services West, LLC",8/4/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/SDH_Services_West_LLC.pdf,Cincinnati/Hamilton,Closure,488,10/1/2026,(772) 828-0908,Y/See WARN
"80 Acres Urban Agriculture, Inc.",8/3/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/80_Acres_Urban_Agriculture_Inc.pdf,Hamilton/Butler,Closure,145,8/3/2026,(888) 574-1569,N
Bridgeway Pointe,7/30/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/Bridgeway_Pointe.pdf,Cincinnati/Hamilton,Closure,49,10/31/2026,(513) 584-4420,N
UPDATE Down-Lite International Inc,7/29/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/UPDATE_Down-Lite_International_Inc.pdf,Mason/Warren,Closure,164,9/25/2026,(513) 229-6346,N
"International Motors, LLC",7/28/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/International_Motors.pdf,Springfield/Clark,Layoff,1341,10/2/2026,(331) 332-7735,Y/See WARN
UPDATE Refresco Beverages US Inc,7/14/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/UPDATE_Refresco_Beverages_US_Inc.docx.pdf,Carlisle/Warren,Layoff,44,6/24/2026,(862) 485-8986,N
Notions Marketing,7/6/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/NotionsMarketing.pdf,Strongsville/Cuyahoga,Layoff,3,6/28/2026,(616) 608-9946,N
"Conduent Commerical Solutions, LLC",6/29/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/Conduent_Commercial_Solutions_LLC.pdf,Unknown/Unknown,Layoff,16,8/28/2026,(315) 404-9183,N
Shiloh Industries,6/29/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/Shiloh_Industries.pdf,Valley City/Medina,Closure,43,8/30/2026,(330) 368-6352,Y/See WARN
A.O. Smith Corporation,6/23/2026,https://dam.assets.ohio.gov/image/upload/jfs.ohio.gov/warn/WARN%202026/A.O.SmithCorporation.pdf,Groveport/Franklin,Closure,92,8/24/2026,(262) 622-8029,N
Schwebel Baking Company Hebron,6/17/2026,https://dam.assets.ohio.gov/image/upload/v1781797067/jfs.ohio.gov/warn/WARN%202026/SchwebelBakingCompanyHebron.pdf,Hebron/Licking,Closure,110,7/6/2026,(330) 783-2860,Y/See WARN
Schwebel Baking Company Youngstown,6/17/2026,https://dam.assets.ohio.gov/image/upload/v1781797067/jfs.ohio.gov/warn/WARN%202026/SchwebelBakingCompanyYoungstown.pdf,Youngstown/Mahoning,Closure,370,7/6/2026,(330) 783-2860,Y/See WARN
"Vestis Services, LLC",6/16/2026,https://dam.assets.ohio.gov/image/upload/v1781789370/jfs.ohio.gov/warn/WARN%202026/VestisServicesLLC.pdf,Unknown/Unknown,Layoff,2,9/13/2026,(818) 973-3704,N
UPDATE Senior Resource Connection,6/16/2026,https://dam.assets.ohio.gov/image/upload/v1781709566/jfs.ohio.gov/warn/WARN%202026/UPDATESeniorResourceConnection2.pdf,Dayton/Montgomery,Closure,190,6/30/2026,(937) 223-8246,N
"Pioneer Cladding & Glazing Systems, Inc.",6/10/2026,https://dam.assets.ohio.gov/image/upload/v1781208658/jfs.ohio.gov/warn/WARN%202026/PioneerCladding_GlazingSystemsInc.pdf,Mason/Warren,Temp Layoff,43,8/9/2026,(513) 583-2310,N
JeniusBank SMBC Manubank,6/8/2026,https://dam.assets.ohio.gov/image/upload/v1781208657/jfs.ohio.gov/warn/WARN%202026/JeniusBankSMBCManubank2.pdf,Unknown/Unknown,Layoff,2,8/3/2026,(646) 256-5895,N
 Wood Group USA Inc.,5/29/2026,https://dam.assets.ohio.gov/image/upload/v1780058125/jfs.ohio.gov/warn/WARN%202026/WoodGroupUSAInc.pdf,Hebron/Licking,Layoff,92,7/26/2026,No Number,N
UPDATE First Brands Group Cuyahoga 4,5/1/2026,https://dam.assets.ohio.gov/image/upload/v1777656442/jfs.ohio.gov/warn/WARN%202026/UPDATEFirstBrandsCuyahoga4.pdf,Cleveland/Cuyahoga,Closure,110,2/27/2026,(833) 434-2557,N
"Milestone Technologies, Inc.",4/29/2026,https://dam.assets.ohio.gov/image/upload/v1777650296/jfs.ohio.gov/warn/WARN%202026/MilestoneTechnologiesInc.pdf,New Albany/Licking,Closure,105,6/28/2026,(510) 418-9370,N
Optalis Professional Services LLC,4/29/2026,https://dam.assets.ohio.gov/image/upload/v1777576162/jfs.ohio.gov/warn/WARN%202026/OptalisProfessionalServicesLLCPickawayManor.pdf,Circleville/Pickaway,Closure,122,6/30/2026,(248) 817-7640,N
"UPDATE GXO Logistics Supply Chain, Inc",4/28/2026,https://dam.assets.ohio.gov/image/upload/v1777477149/jfs.ohio.gov/warn/WARN%202026/UPDATEGXOLogisticsSupplyChainInc.pdf,West Jefferson/Madison,Closure,102,5/2/2026,(909) 219-2122,N
UPDATE First Brands Group Seneca,4/24/2026,https://dam.assets.ohio.gov/image/upload/v1777300906/jfs.ohio.gov/warn/WARN%202026/UPDATEFirstBrandsSeneca.pdf,Tiffin/Seneca,Closure,407,5/31/2026,(833) 434-2557,Y/See WARN
UPDATE First Brands Group Wood,4/24/2026,https://dam.assets.ohio.gov/image/upload/v1777300906/jfs.ohio.gov/warn/WARN%202026/UPDATEFirstBrandsWood.pdf,Bowling Green/Wood,Closure,302,5/31/2026,(833) 434-2557,Y/See WARN
GridHawk,4/22/2026,https://dam.assets.ohio.gov/image/upload/v1776886905/jfs.ohio.gov/warn/WARN%202026/GridHawk.pdf,Mount Gilead/Morrow,Closure,248,4/22/2026,(219) 384-9071,N
Venture Solutions/Taylor Technology Services,4/22/2026,https://dam.assets.ohio.gov/image/upload/v1776886905/jfs.ohio.gov/warn/WARN%202026/VentureSolutionsInc_TaylorTechnologyServices.pdf,Grove City/Franklin,Closure,60,6/22/2026,(763) 381-9681,N
Advanced Specialty Hospitals of Toledo,4/9/2026,https://dam.assets.ohio.gov/image/upload/v1775847051/jfs.ohio.gov/warn/WARN%202026/AdvancedSpecialtyHospitalsofToledo.pdf,Toledo/Lucas,Closure,116,6/8/2026,(419) 381-0037,N
"Conn-Selmer, Inc",4/9/2026,https://dam.assets.ohio.gov/image/upload/v1775760650/jfs.ohio.gov/warn/WARN%202026/ConnSelmerInc.pdf,Eastlake/Lake,Closure,150,6/30/2026,(574) 366-3369,Y/See WARN
Panera,3/27/2026,https://dam.assets.ohio.gov/image/upload/v1774647237/jfs.ohio.gov/warn/WARN%202026/Panera.pdf,West Chester/Butler,Closure,70,5/20/2026,(314) 222-1494,N
"Louis Vuitton USA, Inc",3/27/2026,https://dam.assets.ohio.gov/image/upload/v1774623516/jfs.ohio.gov/warn/WARN%202026/Louis-Vuitton-USA-Inc.pdf,Beachwood/Cuyahoga,Closure,11,3/14/2026,(312) 273-8128,N
"Day & Ross USA, Inc",3/25/2026,https://dam.assets.ohio.gov/image/upload/v1774539368/jfs.ohio.gov/warn/WARN%202026/Day_RossUSAInc.pdf,Hamilton/Butler,Layoff,100,5/30/2026,(586) 623-9950,N
Technicote Inc dba Beontag,3/25/2026,https://dam.assets.ohio.gov/image/upload/v1774539368/jfs.ohio.gov/warn/WARN%202026/TechnicoteIncdbaBeontag.pdf,Trotwood/Montgomery,Layoff,53,5/24/2026,(937) 620-0307,N
Ten Sixty Logistics LLC,3/19/2026,https://dam.assets.ohio.gov/image/upload/v1774022043/jfs.ohio.gov/warn/WARN%202026/Ten_Sixty_Logistics.pdf,Etna/Licking,Closure,125,3/31/2026,(220) 269-9871,N
Zenith Logistics Inc,3/19/2026,https://dam.assets.ohio.gov/image/upload/v1773941927/jfs.ohio.gov/warn/WARN%202026/Zenith-Logistics-Inc.pdf,Cincinnatti/Hamilton,Closure,225,4/15/2026,(513) 967-4783,Y/See WARN
Lourdes University,3/13/2026,https://dam.assets.ohio.gov/image/upload/v1773682957/jfs.ohio.gov/warn/WARN%202026/Lourdes_University.pdf,Sylvania/Lucas,Closure,387,5/15/2026,(419) 824-3728,N
"Boelter Companies, LLC",3/10/2026,https://dam.assets.ohio.gov/image/upload/v1773165164/jfs.ohio.gov/warn/WARN%202026/BoelterCompaniesInc.pdf,Toledo/Lucas,Closure,64,5/11/2026,(419) 460-2764,N
Saks & Company LLC Beachwood,3/6/2026,https://dam.assets.ohio.gov/image/upload/v1773064650/jfs.ohio.gov/warn/WARN%202026/SaksCompanyLLCBeachwood.pdf,Beachwood/Cuyahoga,Closure,70,5/6/2026,No Number,N
Lifetouch,3/3/2026,https://dam.assets.ohio.gov/image/upload/v1772637791/jfs.ohio.gov/warn/WARN%202026/Lifetouch.pdf,Galion/Crawford,Closure,88,6/5/2026,(765) 741-3556,N
GEODIS LLC,3/3/2026,https://dam.assets.ohio.gov/image/upload/v1772637759/jfs.ohio.gov/warn/WARN%202026/GEODISLLC.pdf,Ashville/Pickaway,Closure,105,4/28/2026,(740) 412-1481,N
First Brands Group Darke,2/27/2026,https://dam.assets.ohio.gov/image/upload/v1772219472/jfs.ohio.gov/warn/WARN%202026/FirstBrandsGroupDarke.pdf,Greenville/Darke,Closure,302,4/30/2026,(833) 434-2557,Y/See WARN
"Meteor Creative, Inc",2/24/2026,https://dam.assets.ohio.gov/image/upload/v1772033914/jfs.ohio.gov/warn/WARN%202026/MeteorCreativeInc.pdf,Tipp City/Miami,Closure,66,4/24/2026,No Number,Y/See WARN
Evergreen Recycling LLC,2/24/2026,https://dam.assets.ohio.gov/image/upload/v1772053686/jfs.ohio.gov/warn/WARN%202026/Evergreen_RecyclingLLC.pdf,Clyde/Sandusky,Closure,163,2/24/2026,No Number,N
First Brands Group Cuyahoga,2/23/2026,https://dam.assets.ohio.gov/image/upload/v1771966685/jfs.ohio.gov/warn/WARN%202026/FirstBrandsGroup.pdf,Cleveland/Cuyahoga,Layoff,146,2/23/2026,(833) 434-2557,N
"Parsec, LLC",2/23/2026,https://dam.assets.ohio.gov/image/upload/v1771873177/jfs.ohio.gov/warn/WARN%202026/ParsecLLC.pdf,Columbus/Franklin,Closure,115,5/1/2026,(586) 707-5128,Y/See WARN
Main Street Sports Group Cincinnati,2/23/2026,https://dam.assets.ohio.gov/image/upload/v1771873177/jfs.ohio.gov/warn/WARN%202026/MainStreetSportsGroupCincinnati.pdf,Cincinnatti/Hamilton,Closure,8,4/14/2026,(203) 216-1957,N
Lowe's Companies,2/16/2026,https://dam.assets.ohio.gov/image/upload/v1771342002/jfs.ohio.gov/warn/WARN%202026/LowesCompanies.pdf,Unknown/Unknown,Layoff,17,4/19/2026,(704) 758-4112,N
Main Street Sports Group Cleveland,2/13/2026,https://dam.assets.ohio.gov/image/upload/v1771342002/jfs.ohio.gov/warn/WARN%202026/MainStreetSportsGroup.pdf,Cleveland/Cuyahoga,Closure,27,4/14/2026,(203) 216-1957,N
Saks & Company LLC Columbus,2/10/2026,https://dam.assets.ohio.gov/image/upload/v1770832754/jfs.ohio.gov/warn/WARN%202026/SaksCompanyLLC.pdf,Columbus/Franklin,Closure,41,4/11/2026,(201) 658-3778,N
Astrion,2/9/2026,https://dam.assets.ohio.gov/image/upload/v1770735265/jfs.ohio.gov/warn/WARN%202026/Astrion.pdf,Beavercreek/Greene,Layoff,61,5/31/2026,(276) 254-1004,N
First Financial Bancorp,2/2/2026,https://dam.assets.ohio.gov/image/upload/v1770135498/jfs.ohio.gov/warn/WARN%202026/FirstFinancialBancorp.pdf,Seville/Medina,Layoff,56,3/19/2026,(513) 979-5734,N
Goodyear Tire & Rubber Company,1/30/2026,https://dam.assets.ohio.gov/image/upload/v1770048815/jfs.ohio.gov/warn/WARN%202026/GoodyearTireRubberCompany.pdf,Findlay/Hancock,Closure,85,3/31/2026,(419) 619-5581,N
Fresenius USA Manufacturing,1/29/2026,https://dam.assets.ohio.gov/image/upload/v1769797238/jfs.ohio.gov/warn/WARN%202026/FreseniusUSAManufacturing.pdf,Oregon/Lucas,Layoff,54,4/10/2026,(801) 719-7425,N
New Horizons Baking Company,1/16/2026,https://dam.assets.ohio.gov/image/upload/v1768578139/jfs.ohio.gov/warn/WARN%202026/New-Horizon-Baking-Company.pdf,Toledo/Lucas,Closure,68,3/17/2026,(419) 660-4065,Y/See WARN
Turf Care Supply Corp.,1/12/2026,https://dam.assets.ohio.gov/image/upload/v1768499755/jfs.ohio.gov/warn/WARN%202026/TurfCareSupplyCorp.pdf,Martins Ferry/Belmont,Closure,46,2/28/2026,(330) 558-0910,Y/See WARN
"Tessera Therapeutics, Inc",1/12/2026,https://dam.assets.ohio.gov/image/upload/v1768335992/jfs.ohio.gov/warn/WARN%202026/TesseraTherapeuticsInc.pdf,Unknown/Unknown,Layoff,1,3/8/2026,(860) 910-6030,N
"Sumaria Systems, LLC",1/12/2026,https://dam.assets.ohio.gov/image/upload/v1768249659/jfs.ohio.gov/warn/WARN%202026/SumariaSystemsLLCJFS00039.pdf,Dayton/Greene,Layoff,57,1/26/2026,(937) 345-0866,N
JeniusBank SMBC Manubank,1/8/2026,https://dam.assets.ohio.gov/image/upload/v1767988814/jfs.ohio.gov/warn/WARN%202026/JeniusBankManubankSMBC.pdf,Unknown/Unknown,Closure,2,3/10/2026,(646) 256-5895,N
FTI Buyer LLC BIDFTA online actions,1/8/2026,https://dam.assets.ohio.gov/image/upload/v1767975825/jfs.ohio.gov/warn/WARN%202026/FTIBuyerLLCBIDFTAonlineauctions.pdf,Cincinnatti/Hamilton,Closure,104,3/6/2026,(513) 240-1513,N
Taikisha USA,1/7/2026,https://dam.assets.ohio.gov/image/upload/v1767887433/jfs.ohio.gov/warn/WARN%202026/TaikishaUSA.pdf,Columbus/Franklin,Closure,81,3/7/2026,(734) 637-8812,Y/See WARN
Double Tree Cleveland ,1/6/2026,https://dam.assets.ohio.gov/image/upload/v1767803703/jfs.ohio.gov/warn/WARN%202026/DoubleTreeClevelandCrescentHotelsResorts.pdf,Cleveland/Cuyahoga,Closure,66,1/28/2026,(703) 389-2992,Y/See WARN
